"area","Rtlower","Rtmedian","Rtupper","Cprojlower","Cprojmedian","Cprojupper"
"Leicester",0.65017815454101,0.822390352793134,1.05227483044052,15.2228243879077,33.0202698480949,78.8599294034267
"Leicestershire",0.614128200013156,0.794994164009403,1.02925575681842,3.39409571187044,7.86660130005929,19.4601231435119
"Lewisham",0.507905812942729,0.773267391826569,1.10476238501669,0.0701291424819404,0.269047295786944,0.961424599081295
"Lincolnshire",0.447260609018817,0.641779476207184,0.908938459079602,0.26997314338893,0.809248751260631,2.60978994941074
"Liverpool",0.767865315014095,1.03723169907261,1.45450381246731,2.90069078579301,8.18727154048407,29.441829381401
"Luton",0.519039971188112,0.718335387202586,0.94550481560727,0.557716635795887,1.53792409744067,3.91877797454343
"Manchester",0.636649070365912,0.824246543427617,1.08380726725357,2.83680257401097,6.60841057083035,17.3995105069596
"Medway",0.531756945060057,0.77128798849276,1.08133115243015,0.306526396990806,0.995460924255624,3.25717801796047
"Merton",0.479527108763358,0.734762692245844,1.06193992665011,0.0996356493732468,0.379110454071921,1.37982965449575
"Middlesbrough",0.330074279947442,0.556021344711515,0.870576157201168,0.0241260265095336,0.103956820094798,0.441839658909477
"Milton Keynes",0.414160027155682,0.641584982631619,0.899273829533138,0.06890557628006,0.262177165101897,0.827640755345262
"Newcastle upon Tyne",0.344745668810772,0.568482140333558,0.85929004809926,0.0416491489789006,0.177996321027134,0.697041037385018
"Newham",0.680478613885599,0.965305420637547,1.44862552452616,0.668223981508317,2.16602943467438,9.93172600063052
"Norfolk",0.424836294719049,0.643711913070754,0.9266739495508,0.122934924310785,0.436279685798102,1.50798488882763
"North East Lincolnshire",0.322299386618775,0.561780960684562,0.907802252544357,0.00330590844187495,0.0176213948145529,0.0924665600543448
"North Lincolnshire",0.363971614200918,0.583284584212135,0.905149541321747,0.0288615869985868,0.116419950054742,0.509745127244114
"North Somerset",0.485260921535798,0.774503674423268,1.16537660333288,0.0773188040266831,0.339408215743371,1.46745689723404
"North Tyneside",0.324232507532797,0.554366175024032,0.860026824065856,0.0166776418550328,0.0779423493222293,0.331955958244019
"North Yorkshire",0.377422854611217,0.552391345657586,0.762532798761554,0.180927096889569,0.550530052655077,1.55908984042727
"Northamptonshire",0.570063611206925,0.746283160276073,0.974694265350386,1.73499297494677,4.08605294342105,10.2281389926283
"Northumberland",0.418683219781912,0.683021052519935,1.07446398060668,0.0904799275170457,0.393535741611154,1.87137675005512
"Nottingham",0.457349429497372,0.665302216042038,0.912759627645814,0.214577623610646,0.678856098135918,1.98377441227318
"Nottinghamshire",0.477728547008959,0.653928205168061,0.868930397848837,0.618380304882587,1.61239425346649,4.1523046855976
"Oldham",0.555558992666465,0.73958127121448,0.970826659293723,1.32137011424172,3.28773142680365,8.40809923327767
"Oxfordshire",0.647660983547698,0.881180349999123,1.21650056507895,1.05704544488971,2.93846999546241,9.49155847446291
"Peterborough",0.481902514433236,0.668266608622903,0.910574282610591,0.448070565114375,1.22456437218641,3.47336389360516
"Plymouth",0.45391493581834,0.78216053467674,1.31463145029656,0.0815443671984441,0.436751265098766,2.82728914670375
