,CODE,AREA,POPULATION,DENSITY,SQUARE_KM_AREA,LAT,LONG
172,W06000022,Newport,154676.0,812.0,190.0,51.58231,-2.89769
173,S12000033,Aberdeen City,228670.0,1232.0,186.0,57.166969,-2.20398
174,S12000034,Aberdeenshire,261210.0,41.0,6313.0,57.234692,-2.79208
175,S12000041,Angus,116200.0,53.0,2182.0,56.7248,-2.89189
176,S12000035,Argyll and Bute,85870.0,12.0,6907.0,56.28944,-5.22114
177,S12000036,City of Edinburgh,524930.0,1993.0,263.0,55.91119,-3.27826
178,S12000005,Clackmannanshire,51540.0,324.0,159.0,56.14724,-3.75344
179,S12000006,Dumfries and Galloway,148860.0,23.0,6426.0,55.09621,-4.02863
180,S12000042,Dundee City,149320.0,2496.0,60.0,56.4776,-2.97095
181,S12000008,East Ayrshire,122010.0,97.0,1262.0,55.496738,-4.29057
182,S12000045,East Dunbartonshire,108640.0,623.0,174.0,55.95829,-4.22417
183,S12000010,East Lothian,107090.0,158.0,679.0,55.94207,-2.72435
184,S12000011,East Renfrewshire,95530.0,548.0,174.0,55.74868,-4.3606
185,S12000014,Falkirk,160890.0,541.0,297.0,55.99604,-3.7706
186,S12000047,Fife,373550.0,282.0,1325.0,56.231171,-2.98235
187,S12000049,Glasgow City,633120.0,3626.0,175.0,55.876492,-4.21479
188,S12000017,Highland,235830.0,9.0,25654.0,57.586571,-4.66103
189,S12000018,Inverclyde,77800.0,485.0,160.0,55.900299,-4.75387
190,S12000019,Midlothian,92460.0,261.0,354.0,55.82111,-3.11738
191,S12000020,Moray,95820.0,43.0,2237.0,57.47683,-3.20187
192,S12000013,Na h-Eileanan Siar,26720.0,9.0,3056.0,58.199379,-6.65722
193,S12000021,North Ayrshire,134740.0,152.0,885.0,55.72789,-4.7246
194,S12000050,North Lanarkshire,341370.0,726.0,470.0,55.868141,-3.9514
195,S12000023,Orkney Islands,22270.0,22.0,991.0,58.94334,-2.90025
196,S12000048,Perth and Kinross,151950.0,29.0,5286.0,56.575291,-3.8848
197,S12000038,Renfrewshire,179100.0,685.0,261.0,55.848621,-4.56834
198,S12000026,Scottish Borders,115510.0,24.0,4732.0,55.52594,-2.85866
199,S12000027,Shetland Islands,22920.0,16.0,1467.0,60.504951,-1.37344
200,S12000028,South Ayrshire,112610.0,92.0,1222.0,55.23008,-4.72899
201,S12000029,South Lanarkshire,320530.0,181.0,1772.0,55.60453,-3.83272
202,S12000030,Stirling,94210.0,43.0,2187.0,56.249531,-4.32595
203,S12000039,West Dunbartonshire,88930.0,560.0,159.0,56.0014,-4.52074
204,S12000040,West Lothian,183100.0,428.0,428.0,55.8992,-3.60909
205,N09000001,Antrim and Newtownabbey,143504.0,251.0,571.0,54.693859,-6.1776
206,N09000011,Ards and North Down,161725.0,285.0,566.0,54.564091,-5.64568
207,N09000002,"Armagh City, Banbridge and Craigavon",216205.0,162.0,1338.0,54.3867,-6.43455
208,N09000003,Belfast,343542.0,2495.0,138.0,54.59853,-5.92535
209,N09000004,Causeway Coast and Glens,144838.0,73.0,1986.0,55.039619,-6.5996
210,N09000005,Derry City and Strabane,151284.0,121.0,1251.0,54.80904,-7.42064
211,N09000006,Fermanagh and Omagh,117397.0,41.0,2864.0,54.385208,-7.5271
212,N09000007,Lisburn and Castlereagh,146002.0,289.0,506.0,54.49752,-6.03545
213,N09000008,Mid and East Antrim,139274.0,131.0,1059.0,54.86462,-6.14645
214,N09000009,Mid Ulster,148528.0,81.0,1831.0,54.552731,-6.8889
215,N09000010,"Newry, Mourne and Down",181368.0,108.0,1682.0,54.149529,-6.08891
