AREA,CODE,POPULATION,DENSITY,SQUARE_KM_AREA,LAT,LONG
Highland,S12000017,235830.0,9.0,25654.0,57.586571,-4.66103
Inverclyde,S12000018,77800.0,485.0,160.0,55.900299,-4.75387
Midlothian,S12000019,92460.0,261.0,354.0,55.82111,-3.11738
Moray,S12000020,95820.0,43.0,2237.0,57.47683,-3.20187
Na h-Eileanan Siar,S12000013,26720.0,9.0,3056.0,58.199379,-6.65722
North Ayrshire,S12000021,134740.0,152.0,885.0,55.72789,-4.7246
North Lanarkshire,S12000050,341370.0,726.0,470.0,55.868141,-3.9514
Orkney Islands,S12000023,22270.0,22.0,991.0,58.94334,-2.90025
Perth and Kinross,S12000048,151950.0,29.0,5286.0,56.575291,-3.8848
Renfrewshire,S12000038,179100.0,685.0,261.0,55.848621,-4.56834
Scottish Borders,S12000026,115510.0,24.0,4732.0,55.52594,-2.85866
Shetland Islands,S12000027,22920.0,16.0,1467.0,60.504951,-1.37344
South Ayrshire,S12000028,112610.0,92.0,1222.0,55.23008,-4.72899
South Lanarkshire,S12000029,320530.0,181.0,1772.0,55.60453,-3.83272
Stirling,S12000030,94210.0,43.0,2187.0,56.249531,-4.32595
West Dunbartonshire,S12000039,88930.0,560.0,159.0,56.0014,-4.52074
West Lothian,S12000040,183100.0,428.0,428.0,55.8992,-3.60909
Antrim and Newtownabbey,N09000001,143504.0,251.0,571.0,54.693859,-6.1776
Ards and North Down,N09000011,161725.0,285.0,566.0,54.564091,-5.64568
"Armagh City, Banbridge and Craigavon",N09000002,216205.0,162.0,1338.0,54.3867,-6.43455
Belfast,N09000003,343542.0,2495.0,138.0,54.59853,-5.92535
Causeway Coast and Glens,N09000004,144838.0,73.0,1986.0,55.039619,-6.5996
Derry City and Strabane,N09000005,151284.0,121.0,1251.0,54.80904,-7.42064
Fermanagh and Omagh,N09000006,117397.0,41.0,2864.0,54.385208,-7.5271
Lisburn and Castlereagh,N09000007,146002.0,289.0,506.0,54.49752,-6.03545
Mid and East Antrim,N09000008,139274.0,131.0,1059.0,54.86462,-6.14645
Mid Ulster,N09000009,148528.0,81.0,1831.0,54.552731,-6.8889
"Newry, Mourne and Down",N09000010,181368.0,108.0,1682.0,54.149529,-6.08891
Ayrshire and Arran,NHS Scotland Health Board,369360.0,109.63490650044524,3369.0,55.48490266666667,-4.581386666666666
Borders,NHS Scotland Health Board,115510.0,24.41039729501268,4732.0,55.52594,-2.85866
Forth Valley,NHS Scotland Health Board,306640.0,116.01967461218312,2643.0,56.130936999999996,-3.949996666666666
Grampian,NHS Scotland Health Board,585700.0,67.04441391941391,8736.0,57.292830333333335,-2.7326433333333333
Greater Glasgow and Clyde,NHS Scotland Health Board,1183120.0,1072.6382592928378,1103.0,55.88896366666666,-4.440418333333333
Lanarkshire,NHS Scotland Health Board,661900.0,295.2274754683319,2242.0,55.736335499999996,-3.89206
Lothian,NHS Scotland Health Board,907580.0,526.4385150812064,1724.0,55.8933925,-3.18227
Orkney,NHS Scotland Health Board,22270.0,22.472250252270435,991.0,58.94334,-2.90025
Shetland,NHS Scotland Health Board,22920.0,15.623721881390592,1467.0,60.504951,-1.37344
Tayside,NHS Scotland Health Board,417470.0,55.45563230605739,7528.0,56.59256366666667,-3.2492133333333335
Western Isles,NHS Scotland Health Board,26720.0,8.743455497382199,3056.0,58.199379,-6.65722
Cornwall and Isles of Scilly,England Meta Area,571802.0,160.5734344285313,3561.0,50.1867695,-5.472355
Hackney and City of London,England Meta Area,290841.0,13220.045454545454,22.0,51.535286,-0.07699
