NHS Region,Date,Median,Lower 95% CrI,Upper 95% CrI
Midlands,2020-10-26,1.10631240806708,1.00686608329646,1.21463238160964
Midlands,2020-10-25,1.10794803803173,1.00779720177004,1.21646798759812
Midlands,2020-10-24,1.10940467955979,1.00872736609165,1.21831795749114
Midlands,2020-10-23,1.11109846847628,1.00965721385557,1.22042160437593
Midlands,2020-10-22,1.11291698556693,1.01058482076406,1.22244229323039
Midlands,2020-10-21,1.11443122138152,1.01150050601353,1.22436343270011
Midlands,2020-10-20,1.11564748801761,1.01238717733737,1.22616486620709
Midlands,2020-10-19,1.34855583580596,1.22488821842492,1.48222249505384
Midlands,2020-10-18,1.35099563300641,1.22693593689987,1.48492256295313
Midlands,2020-10-17,1.35328753032755,1.22837644452703,1.487515717057
Midlands,2020-10-16,1.35542512225922,1.22976045258264,1.48960604694989
Midlands,2020-10-15,1.35708551863523,1.23108872823248,1.4914155099237
Midlands,2020-10-14,1.35875076674811,1.23235335571305,1.49307822078068
Midlands,2020-10-13,1.36028891417735,1.23353804009082,1.49463004371213
Midlands,2020-10-12,1.40010899348775,1.23896859601134,1.58729400033322
Midlands,2020-10-11,1.40138120818942,1.2400558712645,1.58926032134819
Midlands,2020-10-10,1.40271122903188,1.24109520627205,1.59128476457048
Midlands,2020-10-09,1.40407404367247,1.24209087043041,1.59311390054445
Midlands,2020-10-08,1.40518775665184,1.24304465983599,1.59476515299966
Midlands,2020-10-07,1.40616158032881,1.24394524494666,1.59626203519602
Midlands,2020-10-06,1.40706448323743,1.2447668140838,1.59764870191408
Midlands,2020-10-05,1.38892640504054,1.23341110399981,1.59346735055123
Midlands,2020-10-04,1.38970808695994,1.23418923096883,1.59490994426187
Midlands,2020-10-03,1.39047286213661,1.23493241905548,1.59620919794328
Midlands,2020-10-02,1.39134922597039,1.23564243822157,1.59733038554462
Midlands,2020-10-01,1.39216184393096,1.23632060495514,1.59829850328361
Midlands,2020-09-30,1.392834441455,1.23696577566539,1.5991808550391
Midlands,2020-09-29,1.39335922380692,1.23757397718205,1.60000979694021
Midlands,2020-09-28,1.31414119974032,1.13836662541728,1.51992124031444
Midlands,2020-09-27,1.3147222977583,1.138717693242,1.52057987902431
